"p_sw" "p_dip" "kurt" "var" "skew"
"NCU03253" -0.153158432230659 -0.380610573119609 2.50277884353676 0.0985243240537668 0.167036409150783
"NCU03458" -0.40051107185235 -0.0375078145661014 2.5366053030065 0.0246014047183171 0.257032314539884
"NCU12034" -0.662591942374898 -0.733386635367177 2.42771324663079 0.20891709403266 -0.184428122465862
"NCU04290" -0.167287134684576 -0.534337622635467 2.39938047580437 0.025953941605047 -0.206989263144287
"NCU06454" -0.147069578871653 -0.00240435728585752 2.62950562120433 0.0139025937699905 -0.0968202606980676
"NCU12115" -2.01526839942818 -1.09953091926658 3.41785678651463 0.0523814198191743 -0.252321461622247
"NCU09513" -3.03012620774449 -0.000423878494513389 3.40134251183733 0.20416650064782 0.728333818336595
"NCU05601" -0.55590990241142 -0.105501788526607 3.08587015197567 0.061582906888792 0.425940687354941
"NCU01901" -1.70559567986876 -2.78632867981527 2.97873329939818 0.155113778731324 0.441385085075634
"NCU07296" -5.00054915605278 -0.12008119637229 2.26886702936107 0.0212771502453302 -0.606556797364604
"NCU00274" -0.0590491948351761 -0.177007266462365 2.85656594117964 0.0364184060249793 0.270679908880386
"NCU11639" -2.31804620520084 -1.93821276993954 1.97366978829309 0.159973897809712 0.111343798724938
"NCU08434" -2.26788499248614 -0.00032495744049951 3.18564014035165 0.0700396482820209 0.241694255520918
"NCU03870" -0.0488560823206373 -1.1267920450559 2.79647860491857 0.0396258490793004 0.0634985667523182
"NCU07542" -0.0941055317628599 -0.267775119182078 3.02107237812714 0.0281260121650268 -0.308964960630632
"NCU05377" -0.853909952716611 -0.637565875722871 2.06783637582067 0.292423485980764 -0.0760562046176875
"NCU06945" -1.29642705956836 -0.017025022106734 2.0711729590192 0.140499407242197 0.139730581703066
"NCU03246" -2.57673635291115 -1.49863243680475 2.4345263850035 0.0823225626196617 -0.517796923508017
"NCU06607" -0.152483667587225 -0.197448819036483 2.46055799977199 0.36118300535293 0.11465126108829
"NCU02528" -1.31124061561677 -0.228526000569266 2.97665001878679 0.0886391571414608 -0.453469762341844
"NCU06654" -1.61762221769487 -0.138893552759619 2.87057218475792 0.0125363377145142 -0.583699019302076
"NCU03482" -0.274165226754282 -0.419212226570891 3.48836963837169 0.0228813052788534 -0.0328987299974823
"NCU03751" -3.71351914016972 -0.0206525433944604 3.15036449216818 0.114024373921853 0.755333482061854
"NCU07313" -0.523570806152198 -0.0745427216904966 2.39726652424096 0.0113565338576867 0.214035972471343
"NCU00598" -2.36874708168544 -0.128752002108352 4.41824307934203 0.0392819195115989 -0.733194538287216
"NCU09437" -0.508816533582358 -0.656559594077639 2.61436848116544 0.0628518476811026 -0.348995977960187
"NCU05594" -2.26044541854579 -0.328872988117364 3.16816528214578 0.0935229360089203 0.637043085360105
